timestamp,artist,followers,following
2026-03-25T13:19:28.742Z,darari_nu,444,155
2026-03-25T13:19:28.742Z,coban3137,1133,620
2026-03-25T16:13:52.368Z,darari_nu,444,155
2026-03-25T16:13:52.368Z,coban3137,1134,621
2026-03-25T19:01:03.126Z,darari_nu,443,155
2026-03-25T19:01:03.126Z,coban3137,1133,621
2026-03-25T21:43:21.957Z,darari_nu,443,155
2026-03-25T21:43:21.957Z,coban3137,1133,621
2026-03-26T02:40:40.502Z,darari_nu,443,155
2026-03-26T02:40:40.502Z,coban3137,1134,621
2026-03-26T05:10:08.451Z,darari_nu,443,155
2026-03-26T05:10:08.451Z,coban3137,1135,622
2026-03-26T07:16:50.169Z,darari_nu,443,155
2026-03-26T07:16:50.169Z,coban3137,1135,622
2026-03-26T10:04:02.384Z,darari_nu,444,155
2026-03-26T10:04:02.384Z,coban3137,1135,622
